探测器编号 时间 桩号 车速 车牌
D202150120001 2021-04-25T10:11 K31+950 4729 蓝渝FFD996
D202150120001 2021-04-25T10:11 K31+950 5058 蓝渝F0T677
D202150120001 2021-04-25T10:11 K31+950 4948 蓝渝F0G376
D202150120001 2021-04-25T10:11 K31+950 5357 蓝渝F83A93
D202150120001 2021-04-25T10:11 K31+950 4373 蓝渝AZ335Y
D202150120001 2021-04-25T10:11 K31+950 5411 蓝渝AP63C7
D202150120001 2021-04-25T10:11 K31+950 4884 蓝渝AQ6Z98
D202150120001 2021-04-25T10:11 K31+950 4922 蓝渝AR9Y79
D202150120001 2021-04-25T10:11 K31+950 4998 蓝渝AT0959
D202150120001 2021-04-25T10:11 K31+950 3890 蓝渝A23QT2
D202150120001 2021-04-25T10:11 K31+950 4078 蓝渝AQ2X19
D202150120001 2021-04-25T10:11 K31+950 4958 蓝渝F2C860
D202150120001 2021-04-25T10:10 K31+950 4626 NO
D202150120001 2021-04-25T10:10 K31+950 3686 蓝渝AW05L3
D202150120001 2021-04-25T10:10 K31+950 3953 蓝渝DLH687
D202150120001 2021-04-25T10:10 K31+950 4162 蓝渝AR5B09
D202150120001 2021-04-25T10:10 K31+950 4976 蓝渝FDJ688
D202150120001 2021-04-25T10:10 K31+950 4445 蓝渝F5W203
D202150120001 2021-04-25T10:10 K31+950 4539 蓝渝F057G7
D202150120001 2021-04-25T10:10 K31+950 3869 NO
D202150120001 2021-04-25T10:10 K31+950 4083 蓝渝FT0887
D202150120001 2021-04-25T10:10 K31+950 4853 蓝渝F339F6
D202150120001 2021-04-25T10:10 K31+950 3044 蓝渝F03Z51
D202150120001 2021-04-25T10:10 K31+950 4398 蓝渝F3G035
D202150120001 2021-04-25T10:10 K31+950 4066 蓝渝FMX239
D202150120001 2021-04-25T10:10 K31+950 3850 蓝渝DX1967
D202150120001 2021-04-25T10:10 K31+950 4750 蓝渝D579K6
D202150120001 2021-04-25T10:10 K31+950 4404 蓝渝AE3D00
D202150120001 2021-04-25T10:10 K31+950 3594 黄渝A00901D
D202150120001 2021-04-25T10:10 K31+950 5101 蓝渝F07Y23
D202150120001 2021-04-25T10:10 K31+950 5744 蓝渝FQM055
D202150120001 2021-04-25T10:10 K31+950 5314 蓝渝AM913A
D202150120001 2021-04-25T10:10 K31+950 4324 蓝渝FB3607
D202150120001 2021-04-25T10:09 K31+950 4924 蓝渝AA978H
D202150120001 2021-04-25T10:09 K31+950 4171 NO
D202150120001 2021-04-25T10:09 K31+950 4130 蓝渝FT0680
D202150120001 2021-04-25T10:09 K31+950 6054 蓝渝DBT529
D202150120001 2021-04-25T10:09 K31+950 4404 蓝渝AC9J82
D202150120001 2021-04-25T10:09 K31+950 4199 蓝渝A021YE
D202150120001 2021-04-25T10:09 K31+950 4066 蓝渝AR955K
D202150120001 2021-04-25T10:09 K31+950 4394 蓝渝F038A6
D202150120001 2021-04-25T10:09 K31+950 4559 蓝渝FF5353
D202150120001 2021-04-25T10:09 K31+950 4561 蓝渝A8BF17
D202150120001 2021-04-25T10:09 K31+950 4520 蓝渝FJS516
D202150120001 2021-04-25T10:09 K31+950 2188 蓝渝A5UR85
D202150120001 2021-04-25T10:09 K31+950 4547 蓝渝F7U898
D202150120001 2021-04-25T10:09 K31+950 2922 黄渝A17868F
D202150120001 2021-04-25T10:09 K31+950 4842 蓝渝FY9738
D202150120001 2021-04-25T10:09 K31+950 5314 蓝渝A0RS27
D202150120001 2021-04-25T10:08 K31+950 3927 蓝渝A09BA7
D202150120001 2021-04-25T10:08 K31+950 3338 NO
D202150120001 2021-04-25T10:08 K31+950 4232 蓝渝F16K29
D202150120001 2021-04-25T10:08 K31+950 4282 蓝渝AU30Y2
D202150120001 2021-04-25T10:08 K31+950 3264 蓝渝AW2R71
D202150120001 2021-04-25T10:08 K31+950 4682 蓝渝A1BX50
D202150120001 2021-04-25T10:08 K31+950 3315 黄渝F05637
D202150120001 2021-04-25T10:08 K31+950 4349 蓝渝F8TA77
D202150120001 2021-04-25T10:08 K31+950 4464 蓝渝AE07B2
D202150120001 2021-04-25T10:08 K31+950 3749 蓝渝AU07P9
D202150120001 2021-04-25T10:08 K31+950 4662 蓝渝AM88K9
D202150120001 2021-04-25T10:08 K31+950 4150 蓝渝AU100E
D202150120001 2021-04-25T10:08 K31+950 5622 蓝渝F63689
D202150120001 2021-04-25T10:08 K31+950 5376 蓝渝F8X358
D202150120001 2021-04-25T10:08 K31+950 4055 蓝渝A0GZ58
D202150120001 2021-04-25T10:08 K31+950 3670 黄渝A09855F
D202150120001 2021-04-25T10:08 K31+950 5242 蓝渝DR0463
D202150120001 2021-04-25T10:08 K31+950 4879 蓝渝AQ088M
D202150120001 2021-04-25T10:08 K31+950 4555 蓝渝A56F88
D202150120001 2021-04-25T10:08 K31+950 4463 蓝贵AF755S
D202150120001 2021-04-25T10:08 K31+950 4199 黄渝AL5833
D202150120001 2021-04-25T10:08 K31+950 4429 蓝渝FRH877
D202150120001 2021-04-25T10:08 K31+950 3702 蓝渝F338B0
D202150120001 2021-04-25T10:08 K31+950 5676 蓝渝FKR077
D202150120001 2021-04-25T10:08 K31+950 4306 蓝渝A2WY92
D202150120001 2021-04-25T10:08 K31+950 4660 蓝渝A92RS2
D202150120001 2021-04-25T10:08 K31+950 4576 蓝渝F5X800
D202150120001 2021-04-25T10:08 K31+950 4986 蓝渝F9T702
D202150120001 2021-04-25T10:08 K31+950 5557 NO
D202150120001 2021-04-25T10:08 K31+950 4780 蓝渝D539P2
D202150120001 2021-04-25T10:08 K31+950 5521 蓝渝FEF986
D202150120001 2021-04-25T10:07 K31+950 4078 蓝渝D776E0
D202150120001 2021-04-25T10:07 K31+950 3891 蓝渝AD859J
D202150120001 2021-04-25T10:07 K31+950 3855 蓝渝D207W7
D202150120001 2021-04-25T10:07 K31+950 4480 蓝渝F201G7
D202150120001 2021-04-25T10:07 K31+950 3919 绿渝ADA3879
D202150120001 2021-04-25T10:07 K31+950 3366 蓝渝A0RT58
D202150120001 2021-04-25T10:07 K31+950 4896 蓝渝A999CW
D202150120001 2021-04-25T10:07 K31+950 4362 蓝渝AM913A
D202150120001 2021-04-25T10:07 K31+950 4947 蓝渝F26F95
D202150120001 2021-04-25T10:07 K31+950 4572 蓝渝AZ519B
D202150120001 2021-04-25T10:07 K31+950 4395 蓝渝A2GG33
D202150120001 2021-04-25T10:07 K31+950 4111 蓝渝AE739V
D202150120001 2021-04-25T10:07 K31+950 3677 蓝渝AE739V
D202150120001 2021-04-25T10:07 K31+950 4682 蓝渝F6L955
D202150120001 2021-04-25T10:07 K31+950 4762 蓝渝A0G311
D202150120001 2021-04-25T10:07 K31+950 5515 蓝渝FRY616
D202150120001 2021-04-25T10:06 K31+950 4383 蓝沪F3G055
D202150120001 2021-04-25T10:06 K31+950 4429 绿渝AD86831
D202150120001 2021-04-25T10:06 K31+950 4588 蓝渝F5U216
D202150120001 2021-04-25T10:06 K31+950 3953 蓝渝FMR918
D202150120001 2021-04-25T10:06 K31+950 4098 蓝渝F15K78
D202150120001 2021-04-25T10:06 K31+950 4503 蓝渝F9T818
D202150120001 2021-04-25T10:06 K31+950 4387 蓝渝DGH355
D202150120001 2021-04-25T10:06 K31+950 4334 NO
D202150120001 2021-04-25T10:06 K31+950 4545 蓝渝F15P58
D202150120001 2021-04-25T10:06 K31+950 3813 蓝渝AV368L
D202150120001 2021-04-25T10:06 K31+950 5807 蓝渝FY0287
D202150120001 2021-04-25T10:06 K31+950 4300 NO
D202150120001 2021-04-25T10:06 K31+950 4202 蓝渝A5KM81
D202150120001 2021-04-25T10:06 K31+950 5487 蓝渝F18K60
D202150120001 2021-04-25T10:06 K31+950 3934 蓝渝FRJ558
D202150120001 2021-04-25T10:06 K31+950 3430 蓝渝F6W511
D202150120001 2021-04-25T10:06 K31+950 3846 蓝渝A7EE52
D202150120001 2021-04-25T10:06 K31+950 4490 蓝渝A7CP63
D202150120001 2021-04-25T10:06 K31+950 4502 蓝渝FFW926
D202150120001 2021-04-25T10:06 K31+950 3509 蓝渝AZ13V8
D202150120001 2021-04-25T10:06 K31+950 4096 蓝渝D44536
D202150120001 2021-04-25T10:06 K31+950 4377 蓝渝FE3988
D202150120001 2021-04-25T10:06 K31+950 2499 蓝渝F8W279
D202150120001 2021-04-25T10:05 K31+950 4321 蓝粤LRA859
D202150120001 2021-04-25T10:05 K31+950 4168 蓝川AN5X86
D202150120001 2021-04-25T10:05 K31+950 4941 蓝渝FKZ318
D202150120001 2021-04-25T10:05 K31+950 4286 蓝渝DEL801
D202150120001 2021-04-25T10:05 K31+950 5071 蓝渝FJE602
D202150120001 2021-04-25T10:05 K31+950 3099 黄渝D09308
D202150120001 2021-04-25T10:05 K31+950 6033 蓝渝DJP731
D202150120001 2021-04-25T10:05 K31+950 4830 蓝渝F7A762
D202150120001 2021-04-25T10:05 K31+950 5242 白渝F1618警
D202150120001 2021-04-25T10:05 K31+950 5172 蓝渝AA2T77
D202150120001 2021-04-25T10:05 K31+950 4539 蓝渝AZ309J
D202150120001 2021-04-25T10:04 K31+950 4332 蓝渝DEU021
D202150120001 2021-04-25T10:04 K31+950 4545 蓝渝F16D65
D202150120001 2021-04-25T10:04 K31+950 4739 蓝渝F30C28
D202150120001 2021-04-25T10:04 K31+950 4730 蓝渝FKG579
D202150120001 2021-04-25T10:04 K31+950 3699 黄渝DG3582
D202150120001 2021-04-25T10:04 K31+950 4678 蓝渝FX9397
D202150120001 2021-04-25T10:04 K31+950 5073 NO
D202150120001 2021-04-25T10:04 K31+950 4611 蓝渝F01U13
D202150120001 2021-04-25T10:04 K31+950 3248 NO
D202150120001 2021-04-25T10:04 K31+950 3624 黄渝D31009
D202150120001 2021-04-25T10:04 K31+950 4451 蓝渝F659R9
D202150120001 2021-04-25T10:04 K31+950 3807 蓝渝AW203V
D202150120001 2021-04-25T10:04 K31+950 4354 蓝渝DLS789
D202150120001 2021-04-25T10:04 K31+950 4722 蓝渝F3G632
D202150120001 2021-04-25T10:04 K31+950 4780 蓝渝A525GR
D202150120001 2021-04-25T10:04 K31+950 5639 蓝闽D772G0
D202150120001 2021-04-25T10:04 K31+950 5015 蓝渝F277F9
D202150120001 2021-04-25T10:04 K31+950 4502 蓝渝F0L588
D202150120001 2021-04-25T10:04 K31+950 5711 蓝渝F232L2
D202150120001 2021-04-25T10:04 K31+950 3956 蓝渝FEN119
D202150120001 2021-04-25T10:04 K31+950 3873 蓝渝F2U023
D202150120001 2021-04-25T10:04 K31+950 4691 蓝渝A2512Q
D202150120001 2021-04-25T10:04 K31+950 4371 蓝渝A7LJ26
D202150120001 2021-04-25T10:04 K31+950 4541 绿渝ADA5138
D202150120001 2021-04-25T10:03 K31+950 3547 蓝渝FX0517
D202150120001 2021-04-25T10:03 K31+950 7150 蓝渝AR3P28
D202150120001 2021-04-25T10:03 K31+950 3909 蓝渝FJK299
D202150120001 2021-04-25T10:03 K31+950 4179 蓝渝A77T87
D202150120001 2021-04-25T10:03 K31+950 4065 蓝渝FAT893
D202150120001 2021-04-25T10:03 K31+950 3913 蓝渝A9N60H
D202150120001 2021-04-25T10:03 K31+950 4301 蓝渝FRU667
D202150120001 2021-04-25T10:03 K31+950 4353 绿渝ADE8287
D202150120001 2021-04-25T10:03 K31+950 5156 NO
D202150120001 2021-04-25T10:03 K31+950 3674 蓝渝F972E2
D202150120001 2021-04-25T10:03 K31+950 4326 蓝渝AF852K
D202150120001 2021-04-25T10:03 K31+950 5212 蓝渝AT0340
D202150120001 2021-04-25T10:03 K31+950 3955 蓝渝ANH290
D202150120001 2021-04-25T10:03 K31+950 4121 蓝渝DGK977
D202150120001 2021-04-25T10:03 K31+950 4375 NO
D202150120001 2021-04-25T10:03 K31+950 4865 蓝渝AT0696
D202150120001 2021-04-25T10:03 K31+950 4750 蓝渝F9A906
D202150120001 2021-04-25T10:03 K31+950 5050 蓝苏ES3P55
D202150120001 2021-04-25T10:03 K31+950 4645 绿渝AF20399
D202150120001 2021-04-25T10:03 K31+950 4886 蓝渝AR5B09
D202150120001 2021-04-25T10:03 K31+950 4347 蓝渝A958DK
D202150120001 2021-04-25T10:03 K31+950 5774 蓝渝AY086F
D202150120001 2021-04-25T10:03 K31+950 4700 黄渝DC5333
D202150120001 2021-04-25T10:03 K31+950 4750 蓝渝FQC998
D202150120001 2021-04-25T10:03 K31+950 4736 绿渝ADD3930
D202150120001 2021-04-25T10:03 K31+950 4858 蓝渝DDN939
D202150120001 2021-04-25T10:03 K31+950 4993 蓝渝A3GF99
D202150120001 2021-04-25T10:03 K31+950 5830 蓝渝AK79Z1
D202150120001 2021-04-25T10:02 K31+950 5003 蓝渝AD88R7
D202150120001 2021-04-25T10:02 K31+950 4205 蓝渝AV7R38
D202150120001 2021-04-25T10:02 K31+950 5885 蓝渝AC708V
D202150120001 2021-04-25T10:02 K31+950 3463 黄渝A15511D
D202150120001 2021-04-25T10:02 K31+950 4199 NO
D202150120001 2021-04-25T10:02 K31+950 4680 蓝渝D809P0
D202150120001 2021-04-25T10:02 K31+950 4135 蓝渝F0C603
D202150120001 2021-04-25T10:02 K31+950 5449 蓝渝D5C036
D202150120001 2021-04-25T10:02 K31+950 4905 蓝渝AM066S
D202150120001 2021-04-25T10:02 K31+950 4764 蓝渝AF6426
D202150120001 2021-04-25T10:02 K31+950 4266 蓝渝FE9631
D202150120001 2021-04-25T10:02 K31+950 4547 蓝渝A90B31
D202150120001 2021-04-25T10:02 K31+950 4966 蓝渝A83T96
D202150120001 2021-04-25T10:02 K31+950 2265 黄渝D93910
D202150120001 2021-04-25T10:02 K31+950 3682 蓝渝DV5220
D202150120001 2021-04-25T10:02 K31+950 4452 蓝渝AT3926
D202150120001 2021-04-25T10:02 K31+950 4557 蓝渝A1317T
D202150120001 2021-04-25T10:02 K31+950 4118 黄渝D25849
D202150120001 2021-04-25T10:01 K31+950 4633 NO
D202150120001 2021-04-25T10:01 K31+950 3120 蓝渝AW8S57
D202150120001 2021-04-25T10:01 K31+950 5443 蓝渝FV9977
D202150120001 2021-04-25T10:01 K31+950 4293 蓝吉BJD157
D202150120001 2021-04-25T10:01 K31+950 6281 NO
D202150120001 2021-04-25T10:01 K31+950 4549 蓝渝AG708D
D202150120001 2021-04-25T10:01 K31+950 4993 蓝渝F8T379
D202150120001 2021-04-25T10:01 K31+950 4949 蓝渝FE9660
D202150120001 2021-04-25T10:01 K31+950 4379 蓝渝FER767
D202150120001 2021-04-25T10:01 K31+950 4429 蓝渝AU339X
D202150120001 2021-04-25T10:01 K31+950 4303 蓝渝AH777V
D202150120001 2021-04-25T10:01 K31+950 3541 蓝渝A6Y6D1
D202150120001 2021-04-25T10:01 K31+950 4980 蓝渝FF9389
D202150120001 2021-04-25T10:00 K31+950 4869 NO
D202150120001 2021-04-25T10:00 K31+950 4243 蓝渝F5W203
D202150120001 2021-04-25T10:00 K31+950 4750 蓝渝FMR778
D202150120001 2021-04-25T10:00 K31+950 4717 蓝渝A219YZ
D202150120001 2021-04-25T10:00 K31+950 4637 蓝渝FY5595
D202150120001 2021-04-25T10:00 K31+950 4784 NO
D202150120001 2021-04-25T10:00 K31+950 4468 蓝渝A04T05
D202150120001 2021-04-25T10:00 K31+950 4147 蓝渝ASP377
D202150120001 2021-04-25T10:00 K31+950 4332 蓝渝F26C19
D202150120001 2021-04-25T10:00 K31+950 3332 蓝渝FJH835
D202150120001 2021-04-25T10:00 K31+950 3910 蓝湘A05L00
D202150120001 2021-04-25T10:00 K31+950 4153 蓝渝FKF879
D202150120001 2021-04-25T10:00 K31+950 4084 蓝渝DEG577
D202150120001 2021-04-25T10:00 K31+950 4976 蓝渝AV3T69
D202150120001 2021-04-25T10:00 K31+950 4704 蓝渝AB3J55
D202150120001 2021-04-25T10:00 K31+950 3886 蓝渝A709HD
D202150120001 2021-04-25T10:00 K31+950 4088 蓝渝FBB377
D202150120001 2021-04-25T10:00 K31+950 4375 蓝渝AA2V01
D202150120001 2021-04-25T10:00 K31+950 3943 蓝渝A709HD
D202150120001 2021-04-25T10:00 K31+950 4018 蓝渝FE9997
D202150120001 2021-04-25T10:00 K31+950 4392 蓝渝FE9997
D202150120001 2021-04-25T10:00 K31+950 3827 蓝渝FEX956
D202150120001 2021-04-25T10:00 K31+950 2647 NO
D202150120001 2021-04-25T10:00 K31+950 4332 蓝浙D510CD
D202150120001 2021-04-25T10:00 K31+950 4413 蓝渝F07256
D202150120001 2021-04-25T10:00 K31+950 5734 蓝渝FKZ101
D202150120001 2021-04-25T10:00 K31+950 4939 蓝蒙GHS570
D202150120001 2021-04-25T10:00 K31+950 4565 蓝渝FER799
D202150120001 2021-04-25T10:00 K31+950 4828 蓝渝AM3K33
D202150120001 2021-04-25T10:00 K31+950 5705 蓝渝FV7325
D202150120001 2021-04-25T10:00 K31+950 4429 蓝渝F66866
D202150120001 2021-04-25T10:00 K31+950 5172 蓝渝A65SU5
D202150120001 2021-04-25T10:00 K31+950 2271 蓝渝AD61Q0
D202150120001 2021-04-25T10:00 K31+950 4773 蓝渝AX136A
D202150120001 2021-04-25T09:59 K31+950 3728 黄渝D32592
D202150120001 2021-04-25T09:59 K31+950 3997 NO
D202150120001 2021-04-25T09:59 K31+950 4042 蓝渝A917JK
D202150120001 2021-04-25T09:59 K31+950 4639 蓝渝FBR920
D202150120001 2021-04-25T09:59 K31+950 4500 蓝渝FX6729
D202150120001 2021-04-25T09:59 K31+950 3938 蓝渝D371Q7
D202150120001 2021-04-25T09:59 K31+950 4237 蓝渝DCK673
D202150120001 2021-04-25T09:59 K31+950 4555 蓝渝A253QP
D202150120001 2021-04-25T09:59 K31+950 4595 蓝渝F0E853
D202150120001 2021-04-25T09:59 K31+950 3446 黄渝D70510
D202150120001 2021-04-25T09:59 K31+950 4068 蓝渝F8L936
D202150120001 2021-04-25T09:59 K31+950 3828 蓝渝AN63V0
D202150120001 2021-04-25T09:59 K31+950 4757 黄渝F08760
D202150120001 2021-04-25T09:59 K31+950 2971 蓝渝F8U527
D202150120001 2021-04-25T09:59 K31+950 5443 蓝渝DNS077
D202150120001 2021-04-25T09:59 K31+950 6348 蓝渝D05C17
D202150120001 2021-04-25T09:59 K31+950 4764 蓝渝FPX066
D202150120001 2021-04-25T09:59 K31+950 4219 蓝渝FS9759
D202150120001 2021-04-25T09:59 K31+950 5188 蓝冀J736US
D202150120001 2021-04-25T09:59 K31+950 3780 蓝渝F98D72
D202150120001 2021-04-25T09:59 K31+950 3809 蓝渝F3B389
D202150120001 2021-04-25T09:59 K31+950 4744 蓝渝AD83S2
D202150120001 2021-04-25T09:58 K31+950 4912 蓝渝F3G139
D202150120001 2021-04-25T09:58 K31+950 4795 蓝渝F681P9
D202150120001 2021-04-25T09:58 K31+950 3588 蓝渝DMC225
D202150120001 2021-04-25T09:58 K31+950 4232 蓝渝A9ZK27
D202150120001 2021-04-25T09:58 K31+950 4741 蓝渝DS3951
D202150120001 2021-04-25T09:58 K31+950 4066 蓝鄂A8PD56
D202150120001 2021-04-25T09:58 K31+950 1896 蓝渝F821G5
D202150120001 2021-04-25T09:58 K31+950 5023 蓝渝F965A5
D202150120001 2021-04-25T09:58 K31+950 3851 黄渝D31018
D202150120001 2021-04-25T09:58 K31+950 4207 蓝渝AD19Y9
D202150120001 2021-04-25T09:58 K31+950 3695 蓝渝F6E921
D202150120001 2021-04-25T09:58 K31+950 4849 蓝渝A827GK
D202150120001 2021-04-25T09:58 K31+950 2987 蓝渝F60J31
D202150120001 2021-04-25T09:58 K31+950 3924 蓝浙CUA538
D202150120001 2021-04-25T09:58 K31+950 2821 蓝渝AP958N
D202150120001 2021-04-25T09:58 K31+950 3995 蓝渝FJA377
D202150120001 2021-04-25T09:58 K31+950 4802 蓝渝F12K55
D202150120001 2021-04-25T09:58 K31+950 4919 蓝渝AD773Q
D202150120001 2021-04-25T09:58 K31+950 4393 蓝渝DKH133
D202150120001 2021-04-25T09:58 K31+950 4762 NO
D202150120001 2021-04-25T09:58 K31+950 4908 蓝渝F63P96
D202150120001 2021-04-25T09:58 K31+950 4490 蓝渝F63P96
D202150120001 2021-04-25T09:58 K31+950 4068 蓝渝F0D862
D202150120001 2021-04-25T09:58 K31+950 4941 蓝渝FE9670
D202150120001 2021-04-25T09:58 K31+950 4755 蓝渝F66E17
D202150120001 2021-04-25T09:58 K31+950 4362 蓝渝FBM797
D202150120001 2021-04-25T09:57 K31+950 3789 蓝渝AG0E09
D202150120001 2021-04-25T09:57 K31+950 2220 蓝渝A3730R
D202150120001 2021-04-25T09:57 K31+950 1743 蓝渝AYG687
D202150120001 2021-04-25T09:57 K31+950 4650 蓝渝DHK252
D202150120001 2021-04-25T09:57 K31+950 4315 蓝渝F3G529
D202150120001 2021-04-25T09:57 K31+950 4545 蓝渝A008NW
D202150120001 2021-04-25T09:57 K31+950 5089 蓝渝AN0C11
D202150120001 2021-04-25T09:57 K31+950 4419 蓝渝F80D23
D202150120001 2021-04-25T09:57 K31+950 3702 蓝渝FDF808
D202150120001 2021-04-25T09:57 K31+950 3497 黄渝A09809F
D202150120001 2021-04-25T09:57 K31+950 5286 蓝渝AE51N5
D202150120001 2021-04-25T09:57 K31+950 5197 蓝渝AF95W8
D202150120001 2021-04-25T09:57 K31+950 4818 蓝渝FCW611
D202150120001 2021-04-25T09:57 K31+950 4784 蓝渝FCW611
D202150120001 2021-04-25T09:57 K31+950 5117 蓝渝DMP992
D202150120001 2021-04-25T09:57 K31+950 4125 蓝渝FPG378
D202150120001 2021-04-25T09:57 K31+950 3527 蓝渝AY1N83
D202150120001 2021-04-25T09:57 K31+950 4901 蓝渝F28T58
D202150120001 2021-04-25T09:57 K31+950 4692 蓝渝F18K91
D202150120001 2021-04-25T09:56 K31+950 4520 NO
D202150120001 2021-04-25T09:56 K31+950 4368 蓝渝F19K00
D202150120001 2021-04-25T09:56 K31+950 4704 蓝渝F3G527
D202150120001 2021-04-25T09:56 K31+950 4750 蓝渝A6630W
D202150120001 2021-04-25T09:56 K31+950 5151 蓝渝F50666
D202150120001 2021-04-25T09:56 K31+950 3371 黄渝F29730
D202150120001 2021-04-25T09:56 K31+950 4835 蓝渝AC010G
D202150120001 2021-04-25T09:56 K31+950 4848 蓝渝F32F28
D202150120001 2021-04-25T09:56 K31+950 5010 蓝渝A875UN
D202150120001 2021-04-25T09:56 K31+950 3903 蓝渝AKF688
D202150120001 2021-04-25T09:56 K31+950 3566 蓝渝A990LR
D202150120001 2021-04-25T09:56 K31+950 5336 蓝渝A727KL
D202150120001 2021-04-25T09:56 K31+950 3946 黄渝A12533F
D202150120001 2021-04-25T09:56 K31+950 4371 蓝渝FMP266
D202150120001 2021-04-25T09:56 K31+950 4195 蓝渝DLZ963
D202150120001 2021-04-25T09:56 K31+950 4284 蓝渝A6DN35
D202150120001 2021-04-25T09:56 K31+950 3807 蓝川RZJ882
D202150120001 2021-04-25T09:56 K31+950 3927 蓝渝F20A89
D202150120001 2021-04-25T09:56 K31+950 4018 蓝渝AQ18G5
D202150120001 2021-04-25T09:56 K31+950 4068 蓝渝F5B757
D202150120001 2021-04-25T09:56 K31+950 4972 蓝渝A727KL
D202150120001 2021-04-25T09:55 K31+950 2764 蓝渝F96X28
D202150120001 2021-04-25T09:55 K31+950 4162 蓝渝A636ZX
D202150120001 2021-04-25T09:55 K31+950 3832 蓝渝A3XB93
D202150120001 2021-04-25T09:55 K31+950 4673 蓝渝FKM316
D202150120001 2021-04-25T09:55 K31+950 4247 蓝渝A7Q98T
D202150120001 2021-04-25T09:55 K31+950 3817 蓝渝A1NQ98
D202150120001 2021-04-25T09:55 K31+950 4371 蓝渝F520H6
D202150120001 2021-04-25T09:55 K31+950 5050 蓝渝DHC585
D202150120001 2021-04-25T09:55 K31+950 4339 蓝渝A588Y8
D202150120001 2021-04-25T09:55 K31+950 5566 蓝渝F905E5
D202150120001 2021-04-25T09:55 K31+950 5102 蓝渝AW399P
D202150120001 2021-04-25T09:55 K31+950 3744 蓝渝F0W310
D202150120001 2021-04-25T09:55 K31+950 5258 蓝渝A9M12X
D202150120001 2021-04-25T09:55 K31+950 3449 蓝渝FV1188
D202150120001 2021-04-25T09:55 K31+950 5524 蓝渝A36A93
D202150120001 2021-04-25T09:55 K31+950 3663 黄渝A08353D
D202150120001 2021-04-25T09:55 K31+950 5068 蓝渝A899KG
D202150120001 2021-04-25T09:55 K31+950 5107 蓝渝D342S0
D202150120001 2021-04-25T09:55 K31+950 4559 绿渝ADC0029
D202150120001 2021-04-25T09:55 K31+950 4470 蓝渝F3G687
D202150120001 2021-04-25T09:55 K31+950 4169 蓝渝FMC765
D202150120001 2021-04-25T09:55 K31+950 4337 蓝渝F82A83
D202150120001 2021-04-25T09:55 K31+950 4002 蓝渝FKX288
D202150120001 2021-04-25T09:54 K31+950 4413 蓝渝F2R558
D202150120001 2021-04-25T09:54 K31+950 4277 蓝渝FPX698
D202150120001 2021-04-25T09:54 K31+950 3771 蓝苏E8G18W
D202150120001 2021-04-25T09:54 K31+950 4369 蓝渝F19K95
D202150120001 2021-04-25T09:54 K31+950 4523 蓝渝F05959
D202150120001 2021-04-25T09:54 K31+950 5209 蓝渝AB708W
D202150120001 2021-04-25T09:54 K31+950 4453 蓝渝F9E852
D202150120001 2021-04-25T09:54 K31+950 4071 蓝渝F67K61
D202150120001 2021-04-25T09:54 K31+950 3912 NO
D202150120001 2021-04-25T09:54 K31+950 5091 蓝渝DDK825
D202150120001 2021-04-25T09:54 K31+950 5264 蓝渝F81B60
D202150120001 2021-04-25T09:54 K31+950 4261 蓝渝AZ189C
D202150120001 2021-04-25T09:54 K31+950 5520 蓝渝AF153E
D202150120001 2021-04-25T09:54 K31+950 4314 蓝渝A1153T
D202150120001 2021-04-25T09:54 K31+950 4643 蓝渝F696H2
D202150120001 2021-04-25T09:54 K31+950 4297 蓝渝FPT617
D202150120001 2021-04-25T09:53 K31+950 4425 蓝浙C220W1
D202150120001 2021-04-25T09:53 K31+950 4550 蓝渝FPV022
D202150120001 2021-04-25T09:53 K31+950 3924 蓝渝F20F35
D202150120001 2021-04-25T09:53 K31+950 5209 蓝鄂A23FU0
D202150120001 2021-04-25T09:53 K31+950 5308 蓝渝AC52S1
D202150120001 2021-04-25T09:53 K31+950 4874 蓝渝AC7T16
D202150120001 2021-04-25T09:53 K31+950 5428 蓝渝AP72D9
D202150120001 2021-04-25T09:53 K31+950 4463 蓝川S2J439
D202150120001 2021-04-25T09:53 K31+950 4866 蓝渝AC86W7
D202150120001 2021-04-25T09:53 K31+950 4884 蓝渝A45T33
D202150120001 2021-04-25T09:53 K31+950 4558 蓝渝F7T755
D202150120001 2021-04-25T09:53 K31+950 4951 蓝渝FEF229
D202150120001 2021-04-25T09:53 K31+950 4715 蓝渝A9373T
D202150120001 2021-04-25T09:53 K31+950 4255 蓝渝A279EG
D202150120001 2021-04-25T09:53 K31+950 4791 蓝渝F3G518
D202150120001 2021-04-25T09:53 K31+950 3460 黄渝F27055
D202150120001 2021-04-25T09:53 K31+950 5177 蓝渝AZ05D9
D202150120001 2021-04-25T09:53 K31+950 5105 蓝渝FGW783
D202150120001 2021-04-25T09:53 K31+950 4173 蓝渝F3G300
D202150120001 2021-04-25T09:52 K31+950 5122 蓝渝AW669G
D202150120001 2021-04-25T09:52 K31+950 3537 蓝渝AB8D81
D202150120001 2021-04-25T09:52 K31+950 4784 蓝渝F37A97
D202150120001 2021-04-25T09:52 K31+950 4654 蓝渝F98Y29
D202150120001 2021-04-25T09:52 K31+950 5744 蓝渝AP7G78
D202150120001 2021-04-25T09:52 K31+950 4791 蓝渝F5C227
D202150120001 2021-04-25T09:52 K31+950 5180 蓝渝FC8188
D202150120001 2021-04-25T09:52 K31+950 4074 蓝渝FV9862
